Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Bangladesh,BGD,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,54.98971558,54.81134221,54.59137369,54.29534499,53.92965051,53.61427288,53.36026072,53.11931395,52.90433431,52.68568474,52.53842211,52.47527317,52.32780938,52.16325404,52.04063563,51.95822422,51.93971928,51.9205146,51.88918646,51.8365735,51.76434755,51.70781919,51.71227517,51.78245869,51.89429908,52.04389259,52.2542014,52.56352723,52.94929584,53.35810466,53.78518795,54.25213325,54.74465612,55.2582859,55.80945639,56.39583918,57.01273682,57.62063708,58.18638781,58.71518048,59.21591798,59.58417643,59.82822679,60.05546422,60.28704094,60.53596219,60.78139086,61.00824041,61.22360723,61.46160888,61.74033056,62.0740347,62.48444256,62.94945702,63.43712522,63.91505781,64.36171178,64.66480015,64.79731777,64.86127978,64.90640953,64.95168587,65.09475232,65.31856977,65.51260647
Bulgaria,BGR,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,66.46560285,66.56844664,66.7418093,66.95516608,67.21933292,67.43545637,67.5631423,67.68639236,67.72747191,67.65558307,67.57356132,67.50210039,67.43103149,67.32011367,67.12416163,66.86581112,66.6391649,66.42481061,66.37160486,66.27067764,66.01385411,66.05994554,66.39111891,66.80380671,67.06050552,67.02264598,66.86653906,66.69897059,66.57309407,66.53014047,66.51241476,66.5353101,66.62626522,66.72956923,66.85656002,67.00306213,67.16193096,67.34410745,67.51272042,67.62359912,67.74231973,67.97167341,68.23787505,68.51857914,68.79185308,68.99288952,69.09005727,69.07264876,68.94776608,68.72283783,68.39588074,67.9655489,67.49170273,66.97535081,66.41961711,65.88286729,65.3990272,64.95884363,64.52800319,64.13353711,63.88145814,63.81350299,63.76347375,63.62936065,63.49520254
Bahrain,BHR,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,54.61799943,54.46034587,54.20855427,53.82598485,53.29719941,52.68263419,52.06366873,51.49529503,51.2244884,51.40480562,51.93331213,52.79749148,53.93092054,55.1887827,56.47834789,57.74158585,58.92306194,59.99095335,60.9446541,61.79250708,62.54622491,63.11977276,63.53375153,63.89718672,64.20176103,64.42399633,64.55520065,64.60129479,64.56402926,64.45179484,64.31395707,64.23834087,64.36704071,64.71443712,65.14805728,65.59306634,66.04561669,66.53143805,67.03819963,67.53053519,67.99839601,68.84244784,70.20828971,71.66975234,72.98558022,74.11307479,75.07721557,75.90729191,76.62988801,77.31034538,77.46776411,77.38765488,77.82444013,77.78481279,77.04406755,76.90245683,77.37422391,77.60859517,77.38429935,76.89507869,76.8265235,77.244686,77.42208954,77.37011484,77.42983488
"Bahamas, The",BHS,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,55.17422217,55.40684305,55.57873028,55.71890707,55.79567294,55.8307959,55.88413807,55.97318001,56.10843767,56.26021879,56.4115871,56.5439046,56.64558415,56.76823164,56.97616659,57.30624555,57.76486412,58.33580493,58.99477343,59.7173021,60.46687152,61.20123661,61.91264847,62.61031433,63.28047303,63.9112951,64.48425757,64.9687231,65.35871915,65.65509434,65.84349389,65.9462261,65.92661763,65.81514007,65.71756675,65.6293849,65.54651482,65.4818939,65.44259405,65.44018723,65.49199438,65.57577569,65.68811932,65.84892027,66.03719444,66.22593008,66.43171869,66.73350607,67.08035424,67.3211874,67.53052908,67.77154863,67.98514926,68.17639655,68.34524376,68.51495991,68.70821313,68.91493911,69.11915053,69.32598888,69.53677097,69.76976232,69.99661668,70.17378058,70.31135134
Bosnia and Herzegovina,BIH,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,58.36798592,58.02389192,57.88671128,57.90966458,57.99359631,58.1098701,58.29141004,58.58009755,59.01385695,59.56682129,60.16747645,60.76323261,61.34065939,61.91501671,62.4892015,63.05646886,63.61114801,64.15565183,64.70056936,65.25945105,65.83254709,66.47260808,67.11993709,67.63827133,68.01427109,68.27407214,68.4573116,68.59620167,68.70901131,68.7974073,68.84610215,68.83145052,67.88245971,66.44567704,65.6824714,65.89261201,67.01915182,67.89567887,68.39129824,68.78840289,69.15382251,69.45268718,69.67113797,69.77823264,69.73163644,69.65005189,69.68231514,69.70595432,69.6360991,69.49580313,69.31018637,69.13443338,69.00445994,68.90073802,68.74084283,68.46746542,68.11268231,67.69859851,67.20515205,66.67024358,66.19392702,65.84035138,65.52022559,65.13765933,64.73194463
Belarus,BLR,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,61.90980432,61.45548186,61.40233217,61.4572366,61.60600365,61.70762457,61.77074182,61.89834056,61.9504533,62.09296744,62.47949158,63.0158603,63.54858836,64.09626631,64.61285593,65.01731152,65.38614891,65.71433099,66.00173101,66.27881655,66.54030562,66.85814985,67.16560071,67.280653,67.27256481,67.25283662,67.20519741,67.07818114,66.80031643,66.52157222,66.28835479,66.07099116,65.89584022,65.75599142,65.70562689,65.72975721,65.9082534,66.20141303,66.69399479,67.34685045,67.86050542,68.301284,68.70416464,69.07612038,69.43380909,69.76559962,70.04147362,70.31624101,70.67889568,70.99219792,71.20640025,71.25208823,70.99090343,70.57647177,70.06846247,69.51728486,68.99180114,68.48861803,68.07968244,67.65462309,67.21941656,66.85716108,66.53336221,66.26274178,66.0362068
Belize,BLZ,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,50.91986246,50.39062291,49.81518502,49.19936983,48.57263775,47.97923105,47.4359509,46.96509454,46.59477742,46.39444256,46.58985965,47.06833163,47.54002374,47.99141125,48.43137484,48.88006044,49.33939902,49.80976841,50.26709825,50.66471387,50.99509175,51.19954565,51.27615988,51.283618,51.18686111,51.0511583,51.01087115,51.08338805,51.21574604,51.37278658,51.55960246,51.81645637,52.17349188,52.60823388,53.09447154,53.60991643,54.14755802,54.69830371,55.22376129,55.69932013,56.13395404,56.53891138,56.92447712,57.31367048,57.71002453,58.10378203,58.50627956,58.92502533,59.35589751,59.81034119,60.47182626,61.28757279,62.03986675,62.74884596,63.43056123,64.0869636,64.76714057,65.38666109,65.83391742,66.20830239,66.61984102,67.08520247,67.68082079,68.16607902,68.39774475
Bermuda,BMU,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,60.95006812,61.05281466,61.38405723,61.701588,62.02798936,62.41756389,62.89508386,63.39621117,63.77966034,64.03672049,64.34785945,64.66439827,64.92211543,65.23972764,65.61684242,66.06153006,66.73557602,67.52623238,68.18887912,68.75694866,69.12693533,69.37700243,69.63428761,69.78750205,69.88644088,69.97020514,70.01672944,70.29147783,70.74525781,71.0952406,71.33438154,71.24120447,70.89842914,70.58173441,70.26979086,69.96883741,69.69638707,69.67362946,69.87227586,70.03983673,69.99130795,69.74986867,69.53453755,69.34889238,69.18391815,69.08437116,69.01652781,69.22686262,69.65536853,69.98033509,69.90137386,69.4833876,69.09546554,68.84157707,68.72451951,68.58824364,68.29318266,67.91132222,67.56043302,67.14867331,66.68867075,66.22246628,65.73125246,65.2098983,64.6492307
Bolivia,BOL,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,54.33886432,54.48612848,54.62518014,54.69638451,54.68174714,54.65399677,54.64047989,54.61608502,54.58630201,54.56048172,54.54506635,54.53978912,54.54701105,54.56597954,54.59068939,54.62388172,54.65199631,54.67383791,54.70531321,54.74947028,54.80184976,54.86200622,54.93848711,55.03224436,55.12936955,55.22453333,55.31811701,55.40242451,55.4790035,55.55306096,55.62379013,55.69861611,55.79203282,55.88283084,55.96302315,56.05324308,56.15175443,56.26432131,56.39512575,56.54147131,56.7106717,56.92079025,57.19582774,57.5286,57.89441148,58.28159026,58.67448517,59.05629174,59.42212137,59.77338083,60.1113496,60.4436749,60.76897379,61.09955832,61.45256724,61.80007544,62.12169397,62.42532838,62.71953591,63.00651281,63.326175,63.68952447,64.02239302,64.30713354,64.57196164
Brazil,BRA,Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,53.28600472,53.10631506,52.9700867,52.90357857,52.93637811,53.04940404,53.21332002,53.43914253,53.7213493,54.04472389,54.39183057,54.75342877,55.12680101,55.50977388,55.90540338,56.30455485,56.69422857,57.07247846,57.43419894,57.76709961,58.06017031,58.30955397,58.51576586,58.69205471,58.86416176,59.05145213,59.25823267,59.49258872,59.76172226,60.05754873,60.38877677,60.76124736,61.17725489,61.62218512,62.07957258,62.55146259,63.03254951,63.51619241,64.00070602,64.48434514,64.96373601,65.43718848,65.89644734,66.33499119,66.74139021,67.10825223,67.4452226,67.75865951,68.05980937,68.34981874,68.62535977,68.88902676,69.13578136,69.36009596,69.53214643,69.64098972,69.71565259,69.7489522,69.71961815,69.66711377,69.6446402,69.61826286,69.54573823,69.43041648,69.28567588
